Threshod,Accuracy,Recall,Precision,F1-Score,TNR,TPR,FPR,FNR,TN,TP,FN,FP,Total
0.1,0.999982365337307,0.9999911825131601,0.9999911825131601,0.9999911825131601,0.5,0.9999911825131601,0.5,8.81748683990089e-06,1.0,113410.0,1.0,1.0,113413.0
0.15,0.999982365337307,0.9999911825131601,0.9999911825131601,0.9999911825131601,0.5,0.9999911825131601,0.5,8.81748683990089e-06,1.0,113410.0,1.0,1.0,113413.0
0.2,0.999982365337307,0.9999911825131601,0.9999911825131601,0.9999911825131601,0.5,0.9999911825131601,0.5,8.81748683990089e-06,1.0,113410.0,1.0,1.0,113413.0
0.25,0.999982365337307,0.9999911825131601,0.9999911825131601,0.9999911825131601,0.5,0.9999911825131601,0.5,8.81748683990089e-06,1.0,113410.0,1.0,1.0,113413.0
0.3,0.999982365337307,0.9999911825131601,0.9999911825131601,0.9999911825131601,0.5,0.9999911825131601,0.5,8.81748683990089e-06,1.0,113410.0,1.0,1.0,113413.0
0.35,0.999982365337307,0.9999911825131601,0.9999911825131601,0.9999911825131601,0.5,0.9999911825131601,0.5,8.81748683990089e-06,1.0,113410.0,1.0,1.0,113413.0
0.4,0.999982365337307,0.9999911825131601,0.9999911825131601,0.9999911825131601,0.5,0.9999911825131601,0.5,8.81748683990089e-06,1.0,113410.0,1.0,1.0,113413.0
0.45,0.999982365337307,0.9999911825131601,0.9999911825131601,0.9999911825131601,0.5,0.9999911825131601,0.5,8.81748683990089e-06,1.0,113410.0,1.0,1.0,113413.0
0.5,0.999982365337307,0.9999911825131601,0.9999911825131601,0.9999911825131601,0.5,0.9999911825131601,0.5,8.81748683990089e-06,1.0,113410.0,1.0,1.0,113413.0
0.55,0.999982365337307,0.9999911825131601,0.9999911825131601,0.9999911825131601,0.5,0.9999911825131601,0.5,8.81748683990089e-06,1.0,113410.0,1.0,1.0,113413.0
0.6,0.999982365337307,0.9999911825131601,0.9999911825131601,0.9999911825131601,0.5,0.9999911825131601,0.5,8.81748683990089e-06,1.0,113410.0,1.0,1.0,113413.0
0.65,0.999982365337307,0.9999911825131601,0.9999911825131601,0.9999911825131601,0.5,0.9999911825131601,0.5,8.81748683990089e-06,1.0,113410.0,1.0,1.0,113413.0
0.7,0.999982365337307,0.9999911825131601,0.9999911825131601,0.9999911825131601,0.5,0.9999911825131601,0.5,8.81748683990089e-06,1.0,113410.0,1.0,1.0,113413.0
0.75,0.999982365337307,0.9999911825131601,0.9999911825131601,0.9999911825131601,0.5,0.9999911825131601,0.5,8.81748683990089e-06,1.0,113410.0,1.0,1.0,113413.0
0.8,0.999982365337307,0.9999911825131601,0.9999911825131601,0.9999911825131601,0.5,0.9999911825131601,0.5,8.81748683990089e-06,1.0,113410.0,1.0,1.0,113413.0
0.85,0.999982365337307,0.9999911825131601,0.9999911825131601,0.9999911825131601,0.5,0.9999911825131601,0.5,8.81748683990089e-06,1.0,113410.0,1.0,1.0,113413.0
