Threshod,Accuracy,Recall,Precision,F1-Score,TNR,TPR,FPR,FNR,TP,TN,FP,FN
0.1,0.9999823651818149,0.9999911824354113,0.9999911824354113,0.9999911824354113,0.5,0.9999911824354113,0.5,8.817564588660612e-06,113409.0,1.0,1.0,1.0
0.15,0.9999823651818149,0.9999911824354113,0.9999911824354113,0.9999911824354113,0.5,0.9999911824354113,0.5,8.817564588660612e-06,113409.0,1.0,1.0,1.0
0.2,0.9999823651818149,0.9999911824354113,0.9999911824354113,0.9999911824354113,0.5,0.9999911824354113,0.5,8.817564588660612e-06,113409.0,1.0,1.0,1.0
0.25,0.9999823651818149,0.9999911824354113,0.9999911824354113,0.9999911824354113,0.5,0.9999911824354113,0.5,8.817564588660612e-06,113409.0,1.0,1.0,1.0
0.3,0.9999823651818149,0.9999911824354113,0.9999911824354113,0.9999911824354113,0.5,0.9999911824354113,0.5,8.817564588660612e-06,113409.0,1.0,1.0,1.0
0.35,0.9999823651818149,0.9999911824354113,0.9999911824354113,0.9999911824354113,0.5,0.9999911824354113,0.5,8.817564588660612e-06,113409.0,1.0,1.0,1.0
0.4,0.9999823651818149,0.9999911824354113,0.9999911824354113,0.9999911824354113,0.5,0.9999911824354113,0.5,8.817564588660612e-06,113409.0,1.0,1.0,1.0
0.45,0.9999823651818149,0.9999911824354113,0.9999911824354113,0.9999911824354113,0.5,0.9999911824354113,0.5,8.817564588660612e-06,113409.0,1.0,1.0,1.0
0.5,0.9999823651818149,0.9999911824354113,0.9999911824354113,0.9999911824354113,0.5,0.9999911824354113,0.5,8.817564588660612e-06,113409.0,1.0,1.0,1.0
0.55,0.9999823651818149,0.9999911824354113,0.9999911824354113,0.9999911824354113,0.5,0.9999911824354113,0.5,8.817564588660612e-06,113409.0,1.0,1.0,1.0
0.6,0.9999823651818149,0.9999911824354113,0.9999911824354113,0.9999911824354113,0.5,0.9999911824354113,0.5,8.817564588660612e-06,113409.0,1.0,1.0,1.0
0.65,0.9999823651818149,0.9999911824354113,0.9999911824354113,0.9999911824354113,0.5,0.9999911824354113,0.5,8.817564588660612e-06,113409.0,1.0,1.0,1.0
0.7,0.9999823651818149,0.9999911824354113,0.9999911824354113,0.9999911824354113,0.5,0.9999911824354113,0.5,8.817564588660612e-06,113409.0,1.0,1.0,1.0
0.75,0.9999823651818149,0.9999911824354113,0.9999911824354113,0.9999911824354113,0.5,0.9999911824354113,0.5,8.817564588660612e-06,113409.0,1.0,1.0,1.0
0.8,0.9999823651818149,0.9999911824354113,0.9999911824354113,0.9999911824354113,0.5,0.9999911824354113,0.5,8.817564588660612e-06,113409.0,1.0,1.0,1.0
0.85,0.9999823651818149,0.9999911824354113,0.9999911824354113,0.9999911824354113,0.5,0.9999911824354113,0.5,8.817564588660612e-06,113409.0,1.0,1.0,1.0
